user,total purchases,HR@5,WHR@5,nDCG@5,recall@5,precision@5,HR@10,WHR@10,nDCG@10,recall@10,precision@10
131,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
677,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
75,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
324,3,0.3333333333333333,0.4166666666666667,0.46927872602275644,0.3333333333333333,0.2,0.3333333333333333,0.37037037037037035,0.46927872602275644,0.3333333333333333,0.1
417,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
505,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
190,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
733,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
245,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
